Date,Close/Last,Volume,Open,High,Low
2/11/2016,$127.17,43895660,$130.23,$130.23,$126.28
1/11/2016,$129.50,21974210,$131.41,$131.94,$128.65
31/10/2016,$130.99,15649280,$132.01,$132.12,$130.88
28/10/2016,$131.29,24500920,$130.50,$132.97,$129.93
27/10/2016,$129.69,16628680,$131.74,$131.80,$129.27
26/10/2016,$131.04,13066210,$131.64,$132.26,$130.94
25/10/2016,$132.29,13307700,$133.50,$133.50,$132.22
24/10/2016,$133.28,17420290,$132.72,$133.41,$132.15
21/10/2016,$132.07,18983740,$129.78,$132.13,$129.70
20/10/2016,$130.00,13148980,$130.07,$130.66,$129.50
19/10/2016,$130.11,16723000,$128.74,$130.47,$128.60
18/10/2016,$128.57,13487280,$128.68,$129.39,$128.01
17/10/2016,$127.54,11317650,$128.20,$128.47,$127.32
14/10/2016,$127.88,13335970,$128.49,$128.95,$127.58
13/10/2016,$127.82,17106910,$128.21,$128.25,$126.75
12/10/2016,$129.05,11043240,$129.01,$129.66,$128.46
11/10/2016,$128.88,17508530,$130.23,$130.64,$128.23
10/10/2016,$130.24,15113560,$129.68,$130.70,$129.20
7/10/2016,$128.99,12800360,$129.04,$129.25,$128.33
6/10/2016,$128.74,11673340,$128.43,$129.06,$128.08
5/10/2016,$128.47,12354920,$128.25,$128.80,$127.83
4/10/2016,$128.19,14294610,$129.17,$129.28,$127.55
3/10/2016,$128.77,13134510,$128.38,$129.09,$127.80
30/09/2016,$128.27,18392040,$128.03,$128.59,$127.45
29/09/2016,$128.09,14489880,$129.18,$129.29,$127.55
28/09/2016,$129.23,12035720,$129.21,$129.47,$128.40
27/09/2016,$128.69,15600130,$127.61,$129.01,$127.43
26/09/2016,$127.31,15041370,$127.37,$128.16,$126.80
23/09/2016,$127.96,28293920,$127.56,$128.60,$127.30
22/09/2016,$130.08,15358850,$130.50,$130.73,$129.56
21/09/2016,$129.94,14045780,$129.13,$130.01,$128.39
20/09/2016,$128.64,11076150,$128.65,$129.17,$128.03
19/09/2016,$128.65,14927990,$129.91,$129.94,$128.26
16/09/2016,$129.07,24083560,$128.20,$129.18,$128.20
15/09/2016,$128.35,15084660,$127.98,$129.10,$127.67
14/09/2016,$127.77,15712050,$126.89,$128.80,$126.89
13/09/2016,$127.21,17987510,$128.03,$128.35,$126.66
12/09/2016,$128.69,21159830,$125.96,$128.76,$125.75
9/09/2016,$127.10,26963940,$129.71,$129.95,$127.10
8/09/2016,$130.27,15655250,$130.92,$131.08,$129.81
7/09/2016,$131.05,27942000,$130.04,$131.98,$129.95
6/09/2016,$129.73,26241480,$126.67,$129.94,$126.47
